id,host_neighbourhood,price,accommodates,room_type,host_id,host_name,host_since,host_location,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,city,state,zipcode,country_code,country,is_location_exact,property_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,license,jurisdiction_names,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
241032,Queen Anne,85,4,Entire home/apt,956883,Maija,11-08-2011,Seattle,0.96,1,f,Queen Anne,3,3,t,t,Seattle,WA,98119,US,United States,t,Apartment,4,1,1,1,Real Bed,0,85,0,0,0,0,2,5,1,365,t,14,41,71,346,42373,207,01-11-2011,02-01-2016,95,10,10,10,10,9,10,f,0,WASHINGTON,f,moderate,f,f,2,4.07
953595,Queen Anne,150,4,Entire home/apt,5177328,Andrea,21-02-2013,Seattle,0.98,1,t,Queen Anne,6,6,t,t,Seattle,WA,98119,US,United States,t,Apartment,4,1,1,1,Real Bed,0,150,1000,3000,100,40,1,0,2,90,t,13,13,16,291,42373,43,19-08-2013,29-12-2015,96,10,10,10,10,10,10,f,0,WASHINGTON,f,strict,t,t,6,1.48
3308979,Queen Anne,975,11,Entire home/apt,16708587,Jill,12-06-2014,Seattle,0.67,1,f,Queen Anne,2,2,t,t,Seattle,WA,98119,US,United States,t,House,11,4.5,5,7,Real Bed,0,975,0,0,1000,300,10,25,4,30,t,1,6,17,220,42373,20,30-07-2014,03-09-2015,97,10,10,10,10,10,10,f,0,WASHINGTON,f,strict,f,f,2,1.15
278830,Queen Anne,450,6,Entire home/apt,1452570,Emily,29-11-2011,Seattle,1,0,f,Queen Anne,2,2,t,t,Seattle,WA,98119,US,United States,t,House,6,2,3,3,Real Bed,0,450,0,0,700,125,6,15,1,1125,t,30,60,90,365,42373,38,10-07-2012,24-10-2015,92,9,9,10,10,9,9,f,0,WASHINGTON,f,strict,f,f,1,0.89
5956968,Queen Anne,120,2,Private room,326758,Andrew,25-12-2010,Seattle,0,0,f,Queen Anne,1,1,t,t,Seattle,WA,98119,US,United States,t,House,2,1,1,1,Real Bed,0,120,800,0,0,40,1,30,1,6,t,0,0,27,302,42373,17,11-06-2015,28-09-2015,95,10,10,10,10,10,10,f,0,WASHINGTON,f,strict,f,f,1,2.45
1909058,Queen Anne,80,2,Private room,2497928,Gary And Beth,30-05-2012,Seattle,1,1,t,Queen Anne,1,1,t,t,Seattle,WA,98119,US,United States,t,House,2,1,1,1,Real Bed,0,80,575,0,150,0,1,10,3,14,t,20,49,71,346,42373,58,27-01-2014,07-12-2015,99,10,10,10,10,10,10,f,0,WASHINGTON,f,moderate,f,f,1,2.46
856550,Queen Anne,60,2,Private room,4016632,Jean-Marc,30-10-2012,Seattle,1,1,t,Queen Anne,5,5,t,t,Seattle,WA,98119,US,United States,t,Cabin,2,1,1,1,Real Bed,0,60,360,0,150,25,1,0,2,7,t,22,42,42,100,42373,173,03-01-2013,01-01-2016,97,10,10,10,10,9,10,f,0,WASHINGTON,f,strict,t,t,5,4.73
4948745,Queen Anne,90,2,Private room,2166277,Aliza,18-04-2012,Seattle,0,1,f,Queen Anne,1,1,t,t,Seattle,WA,98109,US,United States,t,Apartment,2,1,1,1,Real Bed,0,90,500,1700,0,0,1,0,3,1125,t,6,36,66,341,42373,8,22-06-2015,17-08-2015,97,10,9,10,9,10,10,f,0,WASHINGTON,f,strict,f,f,1,1.22
2493658,Queen Anne,150,4,Entire home/apt,5177328,Andrea,21-02-2013,Seattle,0.98,1,t,Queen Anne,6,6,t,t,Seattle,WA,98119,US,United States,t,Apartment,4,1,1,1,Real Bed,0,150,1000,3000,100,40,1,0,2,365,t,6,19,49,324,42373,32,27-04-2014,20-12-2015,97,10,10,10,10,10,9,f,0,WASHINGTON,f,strict,t,t,6,1.55
175576,Queen Anne,95,2,Entire home/apt,239585,Ray & Eileen,19-09-2010,Seattle,1,1,t,Queen Anne,1,1,t,t,Seattle,WA,98119,US,United States,t,House,2,1,1,1,Real Bed,0,95,595,0,0,15,2,15,3,7,t,0,0,0,153,42373,181,21-07-2011,25-11-2015,97,10,10,10,10,10,10,f,0,WASHINGTON,f,moderate,t,f,1,3.33
